id	filename	md5	size	state
7c13425b-0f50-4374-bb6f-8cf11d62a085	fe461111-3e73-4b29-8d70-bba1fa878924.rna_seq.augmented_star_gene_counts.tsv	db1182dfb8b1afffeb86a179d50a9064	4239891	released
48de792d-7d35-4965-82e2-3559d6331a66	f59691ff-80a8-4a67-b292-ccb2f89596b3.rna_seq.augmented_star_gene_counts.tsv	b3a42fc0241872bae0177e1289be25e9	4240296	released
ece1be02-572f-4d31-822c-d3536b268fcc	37d601b9-00ab-4d5f-8478-c1d3896e97a5.rna_seq.augmented_star_gene_counts.tsv	e37e7652a219f9c8d835c9e1ee72520d	4236294	released
5b032718-0f61-4a0d-a608-9bd1b4974d1f	5381aa50-dd9b-4272-9556-45b15d8a7b86.rna_seq.augmented_star_gene_counts.tsv	c3dad6a3da001e0557a462803a09c25e	4251551	released
e497c46d-d947-4bd3-94ff-7fbea95aeb72	9d32d24e-720d-40e9-852d-a5d2676234a4.rna_seq.augmented_star_gene_counts.tsv	172af2a1692592834a86cd95ccab2e4a	4238037	released
6e52e950-7e51-4e12-b194-68d935cb96f0	adc73ced-098f-49a4-b86a-5715804d094f.rna_seq.augmented_star_gene_counts.tsv	ddac2dbcfdff95d7d4b6cb94c47584ec	4247080	released
68e13706-df83-4cb1-987c-1ba839bf1a03	6756d9de-6c5c-470e-968e-a0e519161120.rna_seq.augmented_star_gene_counts.tsv	ab34f520029c29a7a65bb5b86234bdbd	4234222	released
105c969c-ac2d-4a89-ae5c-4bc79af47421	dbeff8bb-8f5f-48a0-81a6-b76864f502a7.rna_seq.augmented_star_gene_counts.tsv	15001b862e8dfdf3f536782497d68a2c	4234558	released
2eb993fd-5ae8-48f3-8d17-9d73ead812a3	8a2ea24c-bfc6-4312-af23-3cb33d6dc5cf.rna_seq.augmented_star_gene_counts.tsv	b9289b61727c9bc31c7042bb1417f4d3	4226547	released
799ccd3a-653d-4c0e-8018-3e1b55d166eb	1d2d6d89-de88-4c50-8c1a-cb652f79ec0a.rna_seq.augmented_star_gene_counts.tsv	a05c2709cf8be68a61f6a02d3d57a520	4241473	released
0f25eb24-da72-4b45-b1db-30ba5e4445d9	6d5f3dca-a2bc-4896-8e8d-e225b3ca63d9.rna_seq.augmented_star_gene_counts.tsv	def77497489ab4aa404403f253c08275	4230528	released
