id	filename	md5	size	state
ebd01ba8-06cd-417a-b41d-05379e430fd2	82a0446c-baf9-4d27-bc14-73e00dc729ab.rna_seq.augmented_star_gene_counts.tsv	2ea8804f5e9635ef7ef591108dbed245	4216844	released
18913801-b38a-4439-8b34-25a7138e8fdd	c2fc96b4-551d-46ff-bd1d-65e1a8c5df2a.rna_seq.augmented_star_gene_counts.tsv	7a1f74fb303d23633f7eec3fffc4bc70	4243944	released
b605224a-cf9c-4092-beb4-5ed43c1179de	78855102-69a0-454f-b67a-c0919dc154fb.rna_seq.augmented_star_gene_counts.tsv	8204dfa7f15942e2939f46baa0933d26	4238896	released
d1e1f6c5-e3af-418c-89ed-8b68f8157f36	1bba75de-1a96-48aa-9900-12de3c95c9e6.rna_seq.augmented_star_gene_counts.tsv	02ba288590991f0f82652d635dd20628	4222224	released
5acfa9e0-c339-40aa-ab9f-0492fbc6db91	6189d0a9-6d52-40b3-81ac-a840738cfc71.rna_seq.augmented_star_gene_counts.tsv	5640405ad9bf043a73a61b8cd9fef92a	4230444	released
a5dd6162-2bca-4bbb-a068-94d122a52cc5	25b02484-448e-4e54-b072-794ad0aa938c.rna_seq.augmented_star_gene_counts.tsv	c84fa468717a6964e95f0f393dd0be04	4239697	released
2d6dd901-d11e-459e-ba2e-8a587e72633e	edfaa504-ee18-4988-ba3c-23d820c1cead.rna_seq.augmented_star_gene_counts.tsv	9ac570a358ed58d1a97bde2e824dd6dd	4237969	released
0a98d561-9c8c-40d2-aaaf-cad735533329	bf9bece0-fb79-4722-a830-308cc5403c0f.rna_seq.augmented_star_gene_counts.tsv	b36efd8192fc81a4c1ac75164d533553	4233898	released
7a3b5b7d-67cc-4048-9bd9-9db08bad1601	fdfae45c-40bb-4499-a8fa-72af3c9e8654.rna_seq.augmented_star_gene_counts.tsv	2b81c445cb5614e38bd273c27477f08f	4232549	released
363d5bdc-23e6-40b0-929c-0805d86471eb	8ea9d251-2a7d-4e6f-b262-fdbf17702c39.rna_seq.augmented_star_gene_counts.tsv	fe06d823c832227901ff55be425452f7	4248450	released
3de35a77-f963-45ff-bfad-a5f24dda75ef	732dff9f-5bcf-43c2-8ce4-062e2f49165a.rna_seq.augmented_star_gene_counts.tsv	78b6e46823750888607a7ef45186aa24	4257008	released
cdcfd140-d0a5-4c55-ba0c-64af335a1ff6	eb51e925-78bf-4d46-8505-c994b90f1ca6.rna_seq.augmented_star_gene_counts.tsv	dea2063621ed3e35017417eaab27bb2c	4235468	released
5030b65c-c5f2-4bb8-afb6-1bd4c5b1abd4	7a82e30f-d736-41d9-a07f-275377f8fef1.rna_seq.augmented_star_gene_counts.tsv	1b52f17d7c38f01939022c241312b877	4238530	released
3a6bb1dd-89ba-4f26-b7d7-c0c174c0bdf1	1de44fab-3e0a-4e2c-a84b-880cd724bbe4.rna_seq.augmented_star_gene_counts.tsv	47fe32a89a7c438fc0e12f2e5e6d0f17	4236401	released
b8a61143-0c20-4db9-a4fd-9c8b375ba841	1010820f-5cf6-4e90-82d9-f4bfc7299217.rna_seq.augmented_star_gene_counts.tsv	3dd95420e5b89fa06e8f57862c8a8862	4238716	released
4cc1c81c-7e39-4d3a-a142-3f64698d6c24	3aa59b3f-e62a-4aa5-8b98-2596b9ea6b0e.rna_seq.augmented_star_gene_counts.tsv	34bcc26d85613d40bb36c2d0c9b4768f	4247543	released
0f8d808c-2f62-4720-b32c-b5e76adab4ba	f995acfb-82fc-47ae-bba9-de699337ee15.rna_seq.augmented_star_gene_counts.tsv	67029f0599eb48fbca2b0e3807a15750	4249841	released
5d803708-5262-42a8-a390-71a3d800347d	147bf43c-c4f9-4cb2-9ccd-b468117ed7e5.rna_seq.augmented_star_gene_counts.tsv	e435801719e43f759ff97154268fc529	4261484	released
4b881bd7-355b-4b47-8c00-41734f8e01d2	36cd2f44-687f-4894-a41d-5d01ee45de7c.rna_seq.augmented_star_gene_counts.tsv	73f44722ff870f40a2a40121687210bb	4255418	released
